ID,INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,SPECIES_ID,SPECIES_GROUP,SPECIES,DAMAGE,INCIDENT_YEAR,TIME_OF_DAY,TIME,HEIGHT,SPEED,PHASE_OF_FLT,BIRDS_STRUCK,SIZE
1,4/27/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,AAL,AMERICAN AIRLINES,O2111,Bird,Rock pigeon,M?,2016,Day,1515,0,0,Take-off run,1,Small
2,4/13/16 0:00,WA,KBLI,BELLINGHAM INTL,AAY,ALLEGIANT AIR,YL001,Bird,European starling,N,2016,Day,844,0,0,Take-off run,1,Small
3,4/7/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,R2004,Bird,Short-eared owl,,2016,,,0,0,,1,Small
4,4/7/16 0:00,WA,KBLI,BELLINGHAM INTL,QXE,HORIZON AIR,J2150,Bird,Barrow's goldeneye,,2016,Night,500,0,0,Take-off run,1,Medium
5,4/1/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,R2004,Bird,Short-eared owl,,2016,,,0,0,,1,Small
6,3/31/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,UNKB,Bird,Unknown bird,N,2016,Night,2000,0,0,Landing Roll,1,
7,3/31/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,AAL,AMERICAN AIRLINES,J2106,Bird,Green-winged teal,N,2016,,,0,0,Landing Roll,10-Feb,Small
8,3/30/16 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,J2109,Bird,Mallard,,2016,,,0,0,,1,Medium
9,3/30/16 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,J2109,Bird,Mallard,,2016,,,0,0,,1,Medium
10,3/23/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,1D21,Bird,Eastern cottontail,,2016,,,0,0,,1,Medium
11,3/22/16 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,BUS,BUSINESS,K2001,Bird,Osprey,M?,2016,Day,1129,1000,90,Approach,1,Large
