INCIDENT_DATE,STATE,AIRPORT_ID,AIRPORT,OPID,OPERATOR,ATYPE,TYPE_ENG,SPECIES_ID,SPECIES,DAMAGE,COST_REPAIRS,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,REG,FLT,REMAINS_COLLECTED,REMAINS_SENT,INCIDENT_MONTH,INCIDENT_YEAR,TIME_OF_DAY,TIME,FAAREGION,ENROUTE,RUNWAY,LOCATION,HEIGHT,SPEED,DISTANCE,PHASE_OF_FLT,STR_RAD,DAM_RAD,STR_WINDSHLD,DAM_WINDSHLD,STR_NOSE,DAM_NOSE,STR_ENG1,DAM_ENG1,STR_ENG2,DAM_ENG2,STR_ENG3,DAM_ENG3,STR_ENG4,DAM_ENG4,INGESTED,STR_PROP,DAM_PROP,STR_WING_ROT,DAM_WING_ROT,STR_FUSE,DAM_FUSE,STR_LG,DAM_LG,STR_TAIL,DAM_TAIL,STR_LGHTS,DAM_LGHTS,STR_OTHER,DAM_OTHER,OTHER_SPECIFY,EFFECT,EFFECT_OTHER,SKY,PRECIP,BIRDS_SEEN,BIRDS_STRUCK,SIZE,WARNED,COMMENTS,REMARKS,AOS,COST_OTHER,COST_REPAIRS_INFL_ADJ,COST_OTHER_INFL_ADJ,REPORTED_NAME,REPORTED_TITLE,REPORTED_DATE,SOURCE,PERSON,NR_INJURIES,NR_FATALITIES,LUPDATE,TRANSFER,INDICATED_DAMAGE
4/27/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,AAL,AMERICAN AIRLINES,A-321,D,O2111,Rock pigeon,M?,,04A,7,23,1,A,4,2,1,1,,,N147AA,2310,TRUE,TRUE,4,2016,Day,1515,ANM,,34R,,0,,0,Take-off run,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,Precautionary Landing,,Some Cloud,None,10-Feb,1,Small,,"xxxx-x-xx-xxxxxx, Rx, xxxx-x-xx-xxxxxx, MOR, NEWS STORY","PILOT REPORTS SEEING 2 ROCK DOVES FLY IN FRONT OF AC AND CHANGE DIRECTION AT ROTATION. 1 IMPACT HEARD. SHORTLY INTO FLIGHT, NOISES FROM RADOME AND ALERTS FROM INSTRUMENTATION RESULTED IN A RETURN AND PRECAUTIONARY LANDING. ~2' DIAMETER DENT IN RADOME WITH SLIGHT DAMAGE TO RADAR ANTENNA INSIDE. AC TAKEN OUT OF SERVICE AND PASSENGERS BOOKED ON LATER FLIGHT, COST, AND TIME OUT OF SERVICE INFORMATION PENDING.",,,,,Deleted,Deleted,,Multiple,Pilot,,,10/20/16 0:00,FALSE,TRUE
4/13/16 0:00,WA,KBLI,BELLINGHAM INTL,AAY,ALLEGIANT AIR,A-319,D,YL001,European starling,N,,04A,6,23,1,A,4,2,1,1,,,,1800,TRUE,FALSE,4,2016,Day,844,ANM,,16,,0,,0,Take-off run,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,,,,,,1,Small,,xxxx-x-xx-xxxxxx,NO DMG REPORTED. CONT TO DESTINATION.,,,,,Deleted,Deleted,,Multiple,Tower,,,10/14/16 0:00,FALSE,FALSE
4/7/16 0:00,WA,KBLI,BELLINGHAM INTL,QXE,HORIZON AIR,DHC8 DASH 8,C,J2150,Barrow's goldeneye,,,303,10,31,10,A,3,2,4,4,,,N427QX,2329,TRUE,FALSE,4,2016,Night,500,ANM,,16,,0,,0,Take-off run,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,,,No Cloud,None,1,1,Medium,N,"xxxx-x-x-xxxxxx, Rx",,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Airport Operations,,,10/14/16 0:00,FALSE,FALSE
4/7/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R2004,Short-eared owl,,,,,,,,,,,,,,,,TRUE,FALSE,4,2016,,,ANM,,16C,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,915 DAY. FOD RECOVERY. NO OTHER INFO ON FORM.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,10/14/16 0:00,FALSE,FALSE
4/1/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,R2004,Short-eared owl,,,,,,,,,,,,,,,,TRUE,FALSE,4,2016,,,ANM,,16R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Small,,xxxx-x-xx-xxxxxx,210 NIGHT. FOD RECOVERY. NO OTHER INFO ON FORM.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,10/14/16 0:00,FALSE,FALSE
3/31/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,ASA,ALASKA AIRLINES,B-737-400,D,UNKB,Unknown bird,N,,148,32,10,1,A,4,2,1,1,,,N762AS,64,FALSE,FALSE,3,2016,Night,2000,ANM,,16R,,0,,0,Landing Roll,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,None,,Some Cloud,None,,1,,,"xxxx-x-xx-xxxxxx, FAA DAILY ALERT BULLETIN",LOWER PORT SIDE WINDSCREEN. NO REMAINS COLLECTED.,,,,,Deleted,Deleted,,Multiple,Tower,,,9/1/16 0:00,FALSE,FALSE
3/31/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,AAL,AMERICAN AIRLINES,B-737-800,D,J2106,Green-winged teal,N,,148,43,10,1,A,4,2,1,1,,,N916NN,41,TRUE,FALSE,3,2016,,,ANM,,16C,,0,,0,Landing Roll,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,PART NOT REPTD,,,,,,10-Feb,Small,,"xxxx-x-xx-xxxxxx, FAA DAILY ALERT BULLETIN",REPORTED A BIRDSTRIKE LANDING RWY 16C. HE STATED HE THOUGHT THE BIRD MAY STILL BE ON THE RWY AT TWY J. FOD RECOVERY OF 3 BIRDS FROM RWY SURFACE. NO DMG.,,,,,Deleted,Deleted,,Multiple,Tower,,,9/1/16 0:00,FALSE,FALSE
3/30/16 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,J2109,Mallard,,,,,,,,,,,,,,,,TRUE,FALSE,3,2016,,,ANM,,31L,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,xxxx-x-xx-xxxxxx,CARCASS FOUND NEAR TWY A7. MALE MALLARD. FOUND BY MX CREWS DURING MOWING OPERATIONS NEAR TWY A7 INTXN AND RWY 31L.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,9/1/16 0:00,FALSE,FALSE
3/30/16 0:00,WA,KBFI,BOEING FIELD/KING COUNTY INTL ARPT,UNK,UNKNOWN,UNKNOWN,,J2109,Mallard,,,,,,,,,,,,,,,,TRUE,FALSE,3,2016,,,ANM,,,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,"xxxx-x-xx-xxxxxx, xxxxxx",CARCASS CONSISTENT WITH STRIKE FOUND BY MX CREWS IN RWY SAFETY AREA. TWY A1.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,9/1/16 0:00,FALSE,FALSE
3/23/16 0:00,WA,KSEA,SEATTLE-TACOMA INTL,UNK,UNKNOWN,UNKNOWN,,1D21,Eastern cottontail,,,,,,,,,,,,,,,,TRUE,FALSE,3,2016,,,ANM,,16R,,,,0,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,1,Medium,,xxxx-x-xx-xxxxxx,337 NIGHT. FOD RECOVERY.,,,,,Deleted,Deleted,,FAA Form 5200-7-E,Carcass Found,,,9/1/16 0:00,FALSE,FALSE
