Neighbourhood_Group,Neighbourhood,Bed_Type,Type,Value
Ballard,Adams,Futon,Price,77.6
Ballard,Adams,Futon,NumReviews,64
Ballard,Adams,Futon,Rating,95.4
Ballard,Adams,Futon,Beds,1
Ballard,Adams,Futon,Bedrooms,1
Ballard,Adams,Real Bed,Price,142
Ballard,Adams,Real Bed,NumReviews,16.7
Ballard,Adams,Real Bed,Rating,93.8
Ballard,Adams,Real Bed,Beds,2
Ballard,Adams,Real Bed,Bedrooms,1.5
Ballard,Loyal Heights,Real Bed,Price,133
Ballard,Loyal Heights,Real Bed,NumReviews,23.1
Ballard,Loyal Heights,Real Bed,Rating,96
Ballard,Loyal Heights,Real Bed,Beds,1.8
Ballard,Loyal Heights,Real Bed,Bedrooms,1.5
Ballard,Sunset Hill,Real Bed,Price,188.4
Ballard,Sunset Hill,Real Bed,NumReviews,35.5
Ballard,Sunset Hill,Real Bed,Rating,93.4
Ballard,Sunset Hill,Real Bed,Beds,1.8
Ballard,Sunset Hill,Real Bed,Bedrooms,1.5
Ballard,West Woodland,Futon,Price,70
Ballard,West Woodland,Futon,NumReviews,7
Ballard,West Woodland,Futon,Rating,91
Ballard,West Woodland,Futon,Beds,1
Ballard,West Woodland,Futon,Bedrooms,1
Ballard,West Woodland,Pull-out Sofa,Price,63.5
Ballard,West Woodland,Pull-out Sofa,NumReviews,4
Ballard,West Woodland,Pull-out Sofa,Rating,96
Ballard,West Woodland,Pull-out Sofa,Beds,1
Ballard,West Woodland,Pull-out Sofa,Bedrooms,0.5
Ballard,West Woodland,Real Bed,Price,130.4
Ballard,West Woodland,Real Bed,NumReviews,36.4
Ballard,West Woodland,Real Bed,Rating,95
Ballard,West Woodland,Real Bed,Beds,1.9
Ballard,West Woodland,Real Bed,Bedrooms,1.4
Ballard,Whittier Heights,Couch,Price,75
Ballard,Whittier Heights,Couch,NumReviews,2
Ballard,Whittier Heights,Couch,Rating,100
Ballard,Whittier Heights,Couch,Beds,1
Ballard,Whittier Heights,Couch,Bedrooms,1
Ballard,Whittier Heights,Futon,Price,68
Ballard,Whittier Heights,Futon,NumReviews,72
Ballard,Whittier Heights,Futon,Rating,93
Ballard,Whittier Heights,Futon,Beds,1
Ballard,Whittier Heights,Futon,Bedrooms,1
Ballard,Whittier Heights,Real Bed,Price,131.5
Ballard,Whittier Heights,Real Bed,NumReviews,42.3
Ballard,Whittier Heights,Real Bed,Rating,96.2
Ballard,Whittier Heights,Real Bed,Beds,1.8
Ballard,Whittier Heights,Real Bed,Bedrooms,1.5
Beacon Hill,Holly Park,Real Bed,Price,100.2
Beacon Hill,Holly Park,Real Bed,NumReviews,8.7
Beacon Hill,Holly Park,Real Bed,Rating,90.6
Beacon Hill,Holly Park,Real Bed,Beds,1.5
Beacon Hill,Holly Park,Real Bed,Bedrooms,1.3
Beacon Hill,Mid-Beacon Hill,Futon,Price,55
Beacon Hill,Mid-Beacon Hill,Futon,NumReviews,1
Beacon Hill,Mid-Beacon Hill,Futon,Rating,100
Beacon Hill,Mid-Beacon Hill,Futon,Beds,1
Beacon Hill,Mid-Beacon Hill,Futon,Bedrooms,1
Beacon Hill,Mid-Beacon Hill,Real Bed,Price,79.6
Beacon Hill,Mid-Beacon Hill,Real Bed,NumReviews,15.2
Beacon Hill,Mid-Beacon Hill,Real Bed,Rating,92.8
Beacon Hill,Mid-Beacon Hill,Real Bed,Beds,2.1
Beacon Hill,Mid-Beacon Hill,Real Bed,Bedrooms,1.3
