Neighbourhood,Price,Review Scores Rating,Number Of Reviews,Bedrooms,Beds
Ballard,134.9,94.9,29.8,1.5,1.8
Beacon Hill,98.1,93.8,23.1,1.4,1.9
Capitol Hill,150.7,93.8,23.1,1.2,1.6
Cascade,158.6,94.5,19.7,1.2,1.3
Central Area,138.8,94.8,22.1,1.5,1.8
Delridge,96.3,95.3,28.4,1.3,1.6
Downtown,182.6,94.1,20.9,1.1,1.8
Interbay,129.2,94.6,9.7,1.3,1.5
Lake City,111.5,94,12.5,1.5,1.7
Magnolia,199.2,93.9,15.1,1.7,2
Northgate,98.9,93.9,21.3,1.3,1.5
Other neighborhoods,132.5,94.4,20.6,1.4,1.8
Queen Anne,169.8,94.6,21.2,1.4,1.7
Rainier Valley,110.1,95.3,24.8,1.3,1.5
Seward Park,131.8,95.1,28.3,1.5,2
University District,109.4,86.6,9.7,1.2,1.7
West Seattle,161.2,95.7,15.2,1.6,2.1
